NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.1,NaN,19.8,22.5,23.1,23.8,24.8,25.9,29.4,30.4,31.6,33.1,34.8,36.7,38.5,39,40.4,41.7,43.1,44.5,45.4,46.6,47.7,49,50,50.7,51.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.3,NaN,NaN,NaN,NaN,26.5,24,26.5,27.7,34.8,35.5,37,39.1,40.7,45.9,39.8,42.9,40.3,43.9,51.6,51.3,50.3
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.2,13.5,13.2,14.6,15.1,15.4,15.6,16.6,12.7,13.3,13.6,13.7,14.3,14.7,15,15.7,16.2,16,16.3,16.8,17.4,18,18.3,19.4,20.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.2,19.6,20.9,NaN,21.4,22,NaN,NaN,24.2,NaN,23.4,23.2,25,27.5,29.5,30.1,30.2,30.8,32.2,32.8,32.4,32,34.4,34.5,35.3,36.4,37.1,38.3,39.8,40.8,42.1,43.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35.6,34,36.3,37.7,39.3,39.1,40.1,40.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.9,NaN,24.8,25.3,NaN,27.4,28.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,32.7,32.9,34.2,36,36.7,37.3,38.1,38.6,39.8,41.8,42.7,43,43.2,43.6,44.1,45.3,47.2
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.7,11,NaN,NaN,8.3,8.7,8.8,9.2,9.4,11,12.5,12.8,13.5,13.7,14.3,14.7,15.4,17.3,18.5,19.3,21.7,22.9,23.9,24,25,26.3,28.2,31.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.3,NaN,9.9,13.1,NaN,15,16.1,NaN,19.1,20.2,21.3,22.7,23.8,24.9,25.6,26.7,28.5,28.8,29.3,29.5,30,31,31.9,32.6,33.7,34.7,35.1,35.7,36.4,37.3,38.6,39.7,40.7
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.3,NaN,25.2,25.8,NaN,27,28.3,NaN,27.5,28,28.7,30.1,31.6,32.6,33.4,34.5,29.6,30.5,31.3,32,33.1,33.9,35.2,35.7,37,38.7,39.8,41.1,41.9,43.2,44,44.6,46.6
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.5,NaN,20.3,21,NaN,21.4,21.1,NaN,22.2,22.9,23.6,24.2,25.4,25.4,26.9,28.1,28.8,29.9,31.3,33.7,35,33.9,34,35.3,37.4,38.4,39.8,41.2,42.6,43.7,44.4,45.3,45
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.3,4.8,NaN,7,8.4,NaN,7.6,7.5,8.1,8.3,8.4,9.1,9.7,9.7,10.2,10.9,11.3,12,12.7,13.1,14,15.3,15.9,16.7,18,19.4,20,20.8,22,NaN,24.5
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.6,23.8,24.9,25.7,26.1,26.8,28,29.3,29.7,34.2,35.5,35.2,37,38.2,39.4,41,41.9,42.2,44.2,45.8,45.7,45.8,47.2,49.4,50.1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.1,19.8,20.9,21.4,21.8,21.8,22.3,22.7,23.6,23.6,23.7,30.2,31.3,32.2,33.3,33.9,34.1,34.9,35.8,36.5,37.5,38.1,38.4,39.1,39.1,39.5,40.3,41.1,41.2,41.7,42.4,43.1,43.9,44.2,44.6,45.7,46.4,47.4,48.3,50.1,50.3
